token,tp_cases,fp_cases,tn_cases,fn_cases,total_cases,precision,recall,f1-score
,0,308,205,0,513,0.0,#Div0,#Div0
says,0,4,0,0,4,0.0,#Div0,#Div0
argued,0,2,0,0,2,0.0,#Div0,#Div0
trial,0,0,1,0,1,#Div0,#Div0,#Div0
improving,0,5,0,0,5,0.0,#Div0,#Div0
village,1,0,0,0,1,1.0,1.0,1.0
strongly,0,0,0,10,10,#Div0,0.0,#Div0
exploring,2,0,0,0,2,1.0,1.0,1.0
difficulties,0,1,0,0,1,0.0,#Div0,#Div0
including,0,8,0,0,8,0.0,#Div0,#Div0
comprehending,0,0,1,0,1,#Div0,#Div0,#Div0
owner,0,0,2,0,2,#Div0,#Div0,#Div0
spent,3,1,0,0,4,0.75,1.0,0.8571428571428571
adding,0,0,1,0,1,#Div0,#Div0,#Div0
runs,1,0,0,0,1,1.0,1.0,1.0
foreign,0,8,0,0,8,0.0,#Div0,#Div0
everyone,0,1,0,0,1,0.0,#Div0,#Div0
avaliable,0,1,0,0,1,0.0,#Div0,#Div0
tax,0,1,0,0,1,0.0,#Div0,#Div0
uncontrollable,0,1,0,0,1,0.0,#Div0,#Div0
single,0,7,0,0,7,0.0,#Div0,#Div0
interacted,0,1,0,0,1,0.0,#Div0,#Div0
expressed,0,1,0,0,1,0.0,#Div0,#Div0
spilled,0,1,0,0,1,0.0,#Div0,#Div0
overtaken,1,0,0,0,1,1.0,1.0,1.0
whenever,0,1,0,0,1,0.0,#Div0,#Div0
sightseeing,0,1,0,0,1,0.0,#Div0,#Div0
surrounded,2,1,0,0,3,0.6666666666666666,1.0,0.8
theit,0,1,0,0,1,0.0,#Div0,#Div0
cram,0,1,0,0,1,0.0,#Div0,#Div0
room,0,1,0,0,1,0.0,#Div0,#Div0
learning,0,35,0,0,35,0.0,#Div0,#Div0
practical,0,5,0,0,5,0.0,#Div0,#Div0
society,0,1,0,0,1,0.0,#Div0,#Div0
emphasis,0,1,0,0,1,0.0,#Div0,#Div0
Jr,0,1,0,0,1,0.0,#Div0,#Div0
ranges,0,0,0,1,1,#Div0,0.0,#Div0
stimulate,0,1,0,0,1,0.0,#Div0,#Div0
democracy,0,2,0,0,2,0.0,#Div0,#Div0
eliminates,1,0,0,0,1,1.0,1.0,1.0
continuing,0,1,0,0,1,0.0,#Div0,#Div0
Organization,0,1,0,0,1,0.0,#Div0,#Div0
suport,1,0,0,0,1,1.0,1.0,1.0
era,2,0,0,3,5,1.0,0.4,0.5714285714285715
convince,0,1,0,0,1,0.0,#Div0,#Div0
choices,0,1,0,0,1,0.0,#Div0,#Div0
tourists,0,1,0,0,1,0.0,#Div0,#Div0
chosen,0,2,0,0,2,0.0,#Div0,#Div0
avoiding,0,3,0,0,3,0.0,#Div0,#Div0
so-called,0,2,0,0,2,0.0,#Div0,#Div0
Spikes,1,0,0,0,1,1.0,1.0,1.0
univeristy,0,1,0,0,1,0.0,#Div0,#Div0
canals,0,1,0,0,1,0.0,#Div0,#Div0
seing,0,1,0,0,1,0.0,#Div0,#Div0
ethical,0,2,0,0,2,0.0,#Div0,#Div0
cases,0,0,1,0,1,#Div0,#Div0,#Div0
remembers,0,1,0,0,1,0.0,#Div0,#Div0
food,0,2,0,0,2,0.0,#Div0,#Div0
credible,0,1,0,0,1,0.0,#Div0,#Div0
stand,2,1,0,0,3,0.6666666666666666,1.0,0.8
sustain,1,0,0,0,1,1.0,1.0,1.0
with-with,0,1,0,0,1,0.0,#Div0,#Div0
endless,1,0,0,0,1,1.0,1.0,1.0
allocating,1,0,0,0,1,1.0,1.0,1.0
ruin,0,0,0,1,1,#Div0,0.0,#Div0
modern,0,7,0,0,7,0.0,#Div0,#Div0
cheap,1,3,0,0,4,0.25,1.0,0.4
describes,0,2,0,0,2,0.0,#Div0,#Div0
new,3,169,0,0,172,0.01744186046511628,1.0,0.03428571428571429
advertised,0,3,0,0,3,0.0,#Div0,#Div0
represented,0,2,0,0,2,0.0,#Div0,#Div0
sorrounds,0,0,0,1,1,#Div0,0.0,#Div0
sublime,0,1,0,0,1,0.0,#Div0,#Div0
fellow,0,1,0,0,1,0.0,#Div0,#Div0
speaking,0,3,0,0,3,0.0,#Div0,#Div0
sides,1,0,0,1,2,1.0,0.5,0.6666666666666666
keys,0,0,0,1,1,#Div0,0.0,#Div0
advertising,0,1,1,0,2,0.0,#Div0,#Div0
spending,5,0,0,1,6,1.0,0.8333333333333334,0.9090909090909091
car,0,2,0,0,2,0.0,#Div0,#Div0
undertaken,0,1,0,0,1,0.0,#Div0,#Div0
languages,0,1,0,0,1,0.0,#Div0,#Div0
christmas,0,1,0,0,1,0.0,#Div0,#Div0
eighteen,0,1,0,0,1,0.0,#Div0,#Div0
Kimura,0,1,0,0,1,0.0,#Div0,#Div0
rely,2,0,0,1,3,1.0,0.6666666666666666,0.8
spray,0,1,0,0,1,0.0,#Div0,#Div0
official,0,2,0,0,2,0.0,#Div0,#Div0
shattered,1,0,0,0,1,1.0,1.0,1.0
positoin,0,0,0,1,1,#Div0,0.0,#Div0
competition,0,0,0,1,1,#Div0,0.0,#Div0
thi,0,1,0,0,1,0.0,#Div0,#Div0
leaders,0,1,0,0,1,0.0,#Div0,#Div0
adapt,0,3,0,0,3,0.0,#Div0,#Div0
teaches,0,1,0,0,1,0.0,#Div0,#Div0
accidently,0,0,0,1,1,#Div0,0.0,#Div0
marketting,0,1,0,0,1,0.0,#Div0,#Div0
owners,0,1,0,0,1,0.0,#Div0,#Div0
challange,0,0,0,1,1,#Div0,0.0,#Div0
tools,0,0,0,6,6,#Div0,0.0,#Div0
dosent,0,1,0,0,1,0.0,#Div0,#Div0
finished,0,1,0,0,1,0.0,#Div0,#Div0
Moving,0,0,0,1,1,#Div0,0.0,#Div0
concept,0,3,0,0,3,0.0,#Div0,#Div0
changing,0,9,1,0,10,0.0,#Div0,#Div0
pleasure,0,1,0,0,1,0.0,#Div0,#Div0
small,3,11,0,1,15,0.21428571428571427,0.75,0.3333333333333333
provided,0,9,0,0,9,0.0,#Div0,#Div0
apply,0,1,0,0,1,0.0,#Div0,#Div0
Nowadays,0,1,0,0,1,0.0,#Div0,#Div0
commercial,0,2,0,0,2,0.0,#Div0,#Div0
repeating,0,3,0,0,3,0.0,#Div0,#Div0
predicted,0,1,0,0,1,0.0,#Div0,#Div0
spreaded,0,0,0,1,1,#Div0,0.0,#Div0
struck,1,0,0,0,1,1.0,1.0,1.0
white,0,1,0,0,1,0.0,#Div0,#Div0
doesn,0,3,0,0,3,0.0,#Div0,#Div0
