token,tp_cases,fp_cases,fn_cases,total_cases,precision,recall,f1-score
inspire,0,1,0,2,0.0,#Div0,#Div0
future,0,6,0,13,0.0,#Div0,#Div0
revolution,0,0,3,3,#Div0,0.0,#Div0
doesnothave,0,2,0,4,0.0,#Div0,#Div0
selfpleasing,0,1,0,2,0.0,#Div0,#Div0
accord,0,7,0,14,0.0,#Div0,#Div0
sail,0,2,0,4,0.0,#Div0,#Div0
short,0,10,1,21,0.0,0.0,#Div0
didnotwork,0,1,0,2,0.0,#Div0,#Div0
function,0,1,0,2,0.0,#Div0,#Div0
justify,0,1,0,2,0.0,#Div0,#Div0
based,0,0,10,10,#Div0,0.0,#Div0
assure,0,1,0,2,0.0,#Div0,#Div0
deceive,0,2,0,4,0.0,#Div0,#Div0
deal,1,1,1,4,0.5,0.5,0.5
enter,0,7,0,13,0.0,#Div0,#Div0
valued,0,0,1,1,#Div0,0.0,#Div0
stuffed,0,0,1,1,#Div0,0.0,#Div0
supporting,0,0,1,1,#Div0,0.0,#Div0
direvered,1,0,1,2,1.0,0.5,0.6666666666666666
avaliable,0,1,0,2,0.0,#Div0,#Div0
effecient,0,1,0,2,0.0,#Div0,#Div0
spray,0,2,0,4,0.0,#Div0,#Div0
test,0,3,0,6,0.0,#Div0,#Div0
contribute,0,1,0,3,0.0,#Div0,#Div0
smooth,0,0,1,1,#Div0,0.0,#Div0
battles,0,0,1,1,#Div0,0.0,#Div0
wouldnotbe,0,1,0,2,0.0,#Div0,#Div0
graphic,0,4,0,8,0.0,#Div0,#Div0
strive,0,1,0,2,0.0,#Div0,#Div0
marketting,0,1,0,2,0.0,#Div0,#Div0
disaster,0,0,2,2,#Div0,0.0,#Div0
color,0,0,1,1,#Div0,0.0,#Div0
popular,0,5,0,11,0.0,#Div0,#Div0
generalize,0,3,0,6,0.0,#Div0,#Div0
way,0,0,6,6,#Div0,0.0,#Div0
class,0,0,1,1,#Div0,0.0,#Div0
prized,0,0,1,1,#Div0,0.0,#Div0
refines,0,0,1,1,#Div0,0.0,#Div0
with,0,0,2,2,#Div0,0.0,#Div0
forced,0,0,4,4,#Div0,0.0,#Div0
positoin,0,0,1,1,#Div0,0.0,#Div0
steady,3,0,3,6,1.0,0.5,0.6666666666666666
creats,0,1,0,2,0.0,#Div0,#Div0
throwing,0,0,1,1,#Div0,0.0,#Div0
drive,1,8,1,18,0.1111111111111111,0.5,0.1818181818181818
Suppose,0,1,0,2,0.0,#Div0,#Div0
valiable,0,0,1,1,#Div0,0.0,#Div0
constraints,0,0,1,1,#Div0,0.0,#Div0
dominated,0,0,1,1,#Div0,0.0,#Div0
absurd,0,1,0,2,0.0,#Div0,#Div0
fresh,2,1,2,6,0.6666666666666666,0.5,0.5714285714285715
commercial,0,2,0,4,0.0,#Div0,#Div0
carried,0,0,1,1,#Div0,0.0,#Div0
consist,0,1,0,2,0.0,#Div0,#Div0
speak,0,19,0,35,0.0,#Div0,#Div0
filling,0,0,1,1,#Div0,0.0,#Div0
loosing,0,0,1,1,#Div0,0.0,#Div0
surronded,1,0,1,2,1.0,0.5,0.6666666666666666
confident,0,0,1,1,#Div0,0.0,#Div0
suppose,0,4,0,8,0.0,#Div0,#Div0
Direct,0,1,0,2,0.0,#Div0,#Div0
resort,0,1,0,2,0.0,#Div0,#Div0
defined,1,0,1,2,1.0,0.5,0.6666666666666666
scarce,0,1,0,2,0.0,#Div0,#Div0
wrning,0,0,1,1,#Div0,0.0,#Div0
isnotimportant,0,1,0,2,0.0,#Div0,#Div0
selling,0,0,1,1,#Div0,0.0,#Div0
Doing,0,4,0,8,0.0,#Div0,#Div0
Thats,0,1,0,2,0.0,#Div0,#Div0
maintaining,0,0,1,1,#Div0,0.0,#Div0
imitate,0,1,0,2,0.0,#Div0,#Div0
mechanically,1,0,1,2,1.0,0.5,0.6666666666666666
raised,0,0,1,1,#Div0,0.0,#Div0
pace,0,0,1,1,#Div0,0.0,#Div0
feed,0,0,1,1,#Div0,0.0,#Div0
intelligent,0,2,0,4,0.0,#Div0,#Div0
estimated,0,1,0,2,0.0,#Div0,#Div0
emerge,1,0,1,2,1.0,0.5,0.6666666666666666
closed,0,0,1,1,#Div0,0.0,#Div0
provide,3,23,3,52,0.11538461538461539,0.5,0.1875
reed,0,1,0,2,0.0,#Div0,#Div0
be,0,476,0,1985,0.0,#Div0,#Div0
later,0,0,1,1,#Div0,0.0,#Div0
fitting,0,0,1,1,#Div0,0.0,#Div0
flying,0,0,1,1,#Div0,0.0,#Div0
relay,1,0,2,3,1.0,0.3333333333333333,0.5
lies,0,0,1,1,#Div0,0.0,#Div0
builds,0,0,2,2,#Div0,0.0,#Div0
working,0,2,1,4,0.0,0.0,#Div0
hypothetical,0,1,0,2,0.0,#Div0,#Div0
accelerating,0,0,1,1,#Div0,0.0,#Div0
accidently,0,0,1,1,#Div0,0.0,#Div0
collage,0,0,1,1,#Div0,0.0,#Div0
donotagree,0,3,0,6,0.0,#Div0,#Div0
imply,0,4,0,8,0.0,#Div0,#Div0
after,0,0,2,2,#Div0,0.0,#Div0
destination,0,0,1,1,#Div0,0.0,#Div0
so-called,0,2,0,4,0.0,#Div0,#Div0
experiments,0,0,1,1,#Div0,0.0,#Div0
contributes,0,0,1,1,#Div0,0.0,#Div0
w,0,2,0,4,0.0,#Div0,#Div0
facing,0,0,2,2,#Div0,0.0,#Div0
impact,0,0,1,1,#Div0,0.0,#Div0
maintain,0,4,0,8,0.0,#Div0,#Div0
Increasing,0,0,0,1,#Div0,#Div0,#Div0
green-house,1,0,1,2,1.0,0.5,0.6666666666666666
limitaions,0,0,1,1,#Div0,0.0,#Div0
